armoury crate service,C:\Program Files\ASUS\Armoury Crate Service\ArmouryCrate.Service.exe
armoury,C:\Program Files\ASUS\Armoury Crate Service\ArmouryCrate.Service.exe
obsidian,C:\Program Files\Obsidian\Obsidian.exe
docker desktop,C:\Program Files\Docker\Docker\Docker Desktop Installer.exe
docker,C:\Program Files\Docker\Docker\Docker Desktop Installer.exe
git,C:\Program Files\Git\git-bash.exe
microsoft onedrive,C:\Program Files\Microsoft OneDrive\26.022.0203.0006\OneDriveSetup.exe
onedrive,C:\Program Files\Microsoft OneDrive\26.022.0203.0006\OneDriveSetup.exe
pgbouncer 1.24.1,C:\Program Files\PgBouncer\uninstall-pgbouncer.exe
pgbouncer,C:\Program Files\PgBouncer\uninstall-pgbouncer.exe
postgresql 18,C:\Program Files\PostgreSQL\18\uninstall-postgresql.exe
postgresql,C:\Program Files\PostgreSQL\18\uninstall-postgresql.exe
proton vpn,C:\Program Files\Proton\VPN\ProtonVPN.Launcher.exe
proton,C:\Program Files\Proton\VPN\ProtonVPN.Launcher.exe
guild wars 2,D:\SteamLibrary\steamapps\common\Guild Wars 2\Gw2-64.exe
guild,D:\SteamLibrary\steamapps\common\Guild Wars 2\Gw2-64.exe
reverse: 1999,D:\SteamLibrary\steamapps\common\Reverse 1999\reverse1999.exe
reverse:,D:\SteamLibrary\steamapps\common\Reverse 1999\reverse1999.exe
calibre 64bit,C:\Program Files\Calibre2\calibre-complete.exe
calibre,C:\Program Files\Calibre2\calibre-complete.exe
xbox 360 controller emulator,C:\ProgramData\Package Cache\{6B45AA6A-7060-4A48-91B9-A085A897E483}\Xbox360ControllerEmulator.exe
xbox,C:\ProgramData\Package Cache\{6B45AA6A-7060-4A48-91B9-A085A897E483}\Xbox360ControllerEmulator.exe
google drive,C:\Program Files\Google\Drive File Stream\121.0.1.0\GoogleDriveFS.exe
drive,C:\Program Files\Google\Drive File Stream\121.0.1.0\GoogleDriveFS.exe
nvidia frameview sdk 1.3.8513.32290073,C:\Program Files\NVIDIA Corporation\FrameViewSDK\nvfvsdksvc_x64.exe
nvidia,C:\Program Files\NVIDIA Corporation\FrameViewSDK\nvfvsdksvc_x64.exe
nvidia shield streaming,C:\Program Files\NVIDIA Corporation\NvStreamSrv\nvstreamer.exe
nvidia install application,C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\SETUP.EXE
nvidia container,C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe
nvidia nodejs,C:\Program Files (x86)\NVIDIA Corporation\NvNode\NVIDIA Web Helper.exe
nvidia shadowplay 3.28.0.417,C:\Program Files\NVIDIA Corporation\ShadowPlay\nvsphelper64.exe
windscribe,C:\Program Files\Windscribe\windscribe-cli.exe
diversion desktop 0.6.0,C:\Users\Asus\AppData\Local\Programs\DiversionDesktop\Diversion Desktop.exe
diversion,C:\Users\Asus\AppData\Local\Programs\DiversionDesktop\Diversion Desktop.exe
unstop smarthire 2.2.0,C:\Users\Asus\AppData\Local\Programs\unstopsmarthire\unstopsmarthire.exe
unstop,C:\Users\Asus\AppData\Local\Programs\unstopsmarthire\unstopsmarthire.exe
notion 4.19.0,C:\Users\Asus\AppData\Local\Programs\Notion\Notion.exe
notion,C:\Users\Asus\AppData\Local\Programs\Notion\Notion.exe
discord,C:\Users\Asus\AppData\Local\Discord\Update.exe
comet,C:\Users\Asus\AppData\Local\Perplexity\Comet\Application\comet.exe
proton mail,C:\Users\Asus\AppData\Local\proton_mail\Proton Mail.exe
